Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
3530,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5,11.025,1,1.17,0,0,0,0,0,0,2,8.5,5,56.19,1,5.94,2,11,3,18.16,1,5.94,21,119.425
3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,5,12.64,3,11.54,1,3.42,1,3.05,2,4,6,33.5,2,8.52,1,6.6,0,0,1,6.3,1,6.6,24,97.57
3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.97,1,1,14,23.88,20,62.775,22,85.77,6,25.04,1,17.9,13,57.87,6,21.1,15,79.275,6,65.54,9,132.88,13,169.855,6,45.61,133,791.465
3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46.705,19,57.235,30,115.485,13,54.975,17,63.515,7,27.2,10,61.191,13,195.12,10,51.05,14,102.95,7,39.26,3,19.98,159,834.666
3540,0,0,0,0,0,0,0,0,1,1.92,0,0,0,0,0,0,0,0,5,8.75,20,47.545,5,19.1,4,22.735,3,9.75,6,22.14,4,30.57,0,0,7,56.36,4,20.51,4,20.71,0,0,63,260.09
3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,2,8.285,2,9.12,1,4.095,1,3.43,0,0,7,29.6,3,12.85,4,30.23,2,16.5,4,20.85,0,0,27,136.36
3544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.44,13,57.22,3,15.04,1,5,3,11,4,33.26,5,33.17,5,41.07,5,24.475,4,25.99,6,42.96,1,6.6,51,297.225
3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.17,23,94.23,7,18.745,8,30.75,6,40.46,3,12.45,4,17.84,4,20.655,8,73.33,3,18.3,3,35.04,0,0,70,362.97
3549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,15,26.88,25,81.36,22,92.035,40,255.95,17,73.55,15,258.74,9,68.24,30,339.259,28,350.41,43,611.045,105,2388.82,19,388.58,370,4937.969
3550,0,0,0,0,1,2.1,1,1.36,1,0.15,1,1.169,6,8.2,11,17.636,74,89.196,296,469.969,688,1397.508,552,1825.983,215,894.965,254,1500.098,198,1280.788,143,858.616,222,2404.424,317,2474.55,445,3403.377,546,4042.805,183,1264.855,4154,21937.749
3551,0,0,1,1.4,0,0,1,0.64,4,6.685,0,0,7,12.48,17,25.995,61,74.899,223,391.328,697,1699.432,582,2391.933,302,1356.343,295,1346.716,259,1305.402,209,1326.202,280,1920.297,481,3914.089,558,3786.37,753,5527.435,275,2053.805,5005,27141.451
3552,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,3,3.59,1,2.1,4,10.2,6,18.595,3,18.3,1,9.75,1,2.25,0,0,2,18.63,0,0,0,0,0,0,0,0,22,84.815
3554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,0,0,0,0,1,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.39
