Postcode,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW
3875,12,74.389,13,66.868,14,63.155,17,65.243,25,165.2,16,71.792,15,71.103,9,43.045,10,61.457,10,56.75,14,83.645,17,100.422
3878,0,0,4,16.84,0,0,4,16.02,2,10.83,2,9.138,1,7.29,1,6.27,1,2.7,2,9.04,2,9.37,0,0
3880,2,7.714,0,0,4,19.612,3,12.62,8,32.825,4,18.37,3,17.657,4,12.435,6,26.452,5,27.583,1,4.845,4,18.425
3882,2,10.04,2,9.156,2,10.64,0,0,0,0,2,10.72,0,0,2,11.58,0,0,1,4.845,2,6.07,2,7.98
3885,0,0,4,32.96,5,35.51,1,4.578,7,39.75,1,4.59,1,2.7,1,1.62,0,0,1,4.59,3,14.25,0,0
3886,0,0,0,0,0,0,1,3.08,0,0,0,0,2,14.83,0,0,0,0,0,0,1,4.95,1,4.845
3887,0,0,1,14.04,1,4.42,0,0,2,23.945,0,0,1,4.59,0,0,0,0,0,0,0,0,0,0
3888,1,4.08,1,1.785,2,7.09,3,13.51,1,1.5,1,6.27,8,47.47,1,4.02,6,39.045,5,30.215,7,76.67,5,41.7
3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3890,0,0,3,12.54,0,0,1,3.24,5,51.92,0,0,0,0,1,4.56,0,0,0,0,0,0,0,0
3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3892,0,0,0,0,0,0,0,0,0,0,0,0,2,6.54,1,4.5,0,0,2,14.704,1,5.12,0,0
3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.32
3895,0,0,0,0,1,14.82,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24,0,0,0,0
3896,0,0,4,31.5,2,9.18,0,0,0,0,0,0,0,0,0,0,0,0,2,6.595,0,0,1,7.48
3898,0,0,0,0,1,3.975,2,9.18,2,15.36,1,10.24,0,0,0,0,2,8.82,2,18.09,1,3.96,5,38.925
3900,0,0,0,0,1,4.59,1,4.59,2,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3902,0,0,0,0,1,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.35
3903,0,0,0,0,0,0,0,0,1,6.16,1,4.578,0,0,2,9.81,0,0,1,5.22,0,0,0,0
