Postcode,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW
2022,1,10.5,4,23.985,4,28.05,2,14.4,3,21.405,2,13.41,2,11.91,4,16.345,5,31.53,5,29.91,5,30.88,4,32.795
2023,0,0,2,17.6,1,1.95,2,44.185,7,64.545,5,43.28,3,47.29,4,50.45,3,31.36,3,30.4,1,6.12,7,74.34
2024,2,14.94,1,7.35,3,16.32,3,19.47,5,26.69,6,46.13,5,36.445,5,37.8,5,28.65,3,21.17,7,46.91,5,95.05
2025,1,9.1,3,18.58,3,15.48,2,16.335,1,7.85,1,10.56,1,9.1,1,4.44,0,0,0,0,2,14.62,4,35.09
2026,3,24.565,10,59.99,8,42.805,4,23.29,4,22.49,11,89.08,6,110.24,9,61.23,8,62.105,8,56.46,16,115.635,4,33.83
2027,1,3.9,1,3.78,2,11.8,2,5.25,0,0,2,16.21,1,6.175,0,0,1,19.24,0,0,0,0,1,9.72
2028,0,0,0,0,1,9.8,3,21.5,0,0,1,11.05,0,0,0,0,1,6.6,1,32.4,1,6.29,1,13.14
2029,2,17.2,5,32.465,2,14.94,2,25.9,2,19.05,1,7.7,0,0,5,50.51,1,6.6,3,34.14,3,18.66,5,60.56
2030,3,19.36,6,64.985,8,98.1,6,50.08,8,58.28,8,117.61,8,52.475,4,33.465,7,48.56,5,57.815,7,69.61,12,106.935
2031,4,30.96,3,22.55,12,64.795,15,106.12,6,35.25,6,107.5,10,61.475,8,51.075,10,78.98,6,65.75,16,107.275,10,67.015
2032,3,13.875,3,22.26,5,30.25,4,25.08,4,26.61,1,6.6,0,0,4,34.47,6,43.835,3,21.49,7,57.17,5,36.2
2033,2,17.16,1,6.6,3,32.22,3,20.805,1,4.74,0,0,2,19.85,5,35.01,2,12.52,1,7.92,3,24.47,3,28
2034,3,18.3,7,43.145,3,20.57,6,35.61,3,14.67,7,48.685,7,61.13,3,22.13,11,114.365,2,13.16,11,89.285,5,36.015
2035,6,50.28,17,105.57,11,73.815,13,77.745,16,218.1,11,68.875,16,265.73,9,56,18,132.535,19,140.775,19,154.185,18,174.815
2036,10,56.69,4,25.13,9,70.1,12,81.305,9,162.815,10,78.49,10,84.03,16,188.07,20,162.955,22,205.53,23,204.77,28,217.76
2037,3,14.03,2,8.7,3,20.415,2,10.05,1,5.28,1,3.15,1,8.28,5,38.74,2,11.45,2,12.8,3,39.04,4,35.86
2038,0,0,5,30.66,1,3.78,3,14.015,7,43.24,3,15.67,4,24.31,3,14.31,9,46.425,8,51.12,7,47.52,1,6.2
2039,0,0,4,17.76,2,13.215,5,28.505,0,0,4,24.345,2,11.7,2,11.985,2,7.11,1,4.38,6,33.93,3,64.13
2040,11,55.19,2,13.2,11,66.825,11,52.53,5,30.695,10,59.425,7,38.25,14,182.035,12,183.72,15,92.315,14,87.95,7,137.48
2041,1,5.6,7,38.79,7,33.22,5,26.57,2,12.23,4,22.76,5,25.35,3,21.27,2,12.36,5,30.61,9,57.46,8,83.61
2042,2,6.36,3,14.25,9,46.435,7,29.895,3,15.12,4,21.6,5,24.33,5,58.36,12,61.53,7,40.25,8,36.27,5,29.86
2043,0,0,1,5.94,1,9.3,3,12.09,0,0,2,33.6,2,13.2,3,16.4,3,19.94,1,5.92,1,4.81,3,16.29
2044,1,6.6,4,22.68,3,16.98,7,44.46,3,18.44,2,13.2,4,60.815,8,54.91,3,113.49,1,5.4,3,20.35,2,22.91
2045,5,43.825,3,19.03,6,52.765,7,46.59,9,66.22,5,27.09,2,13.25,5,89.765,5,52.38,3,27.57,5,43.35,6,169.545
2046,17,106.255,6,46.015,8,59.245,13,96.51,15,136.495,14,121.025,9,88.37,18,143.21,12,91.34,9,71.555,22,171.24,19,157.385
2047,5,26.505,5,37.95,7,46.2,5,35.79,3,14.86,1,10.08,2,14.07,4,26.645,4,33.13,8,82.575,6,33.825,2,12.25
2048,4,21.49,2,8.58,4,29.97,1,6.615,4,20.445,2,9.05,2,7.26,2,12.9,6,35.84,4,31.52,3,27.95,2,8.41
2049,2,13.93,3,19.14,4,44.005,6,44.84,4,29.445,2,15.84,3,42.4,2,10.75,7,41.34,6,35.46,4,27.735,8,49.94
2050,2,19.686,0,0,0,0,2,95.45,1,6.6,1,9.24,3,16.24,2,41.6,1,8.88,2,15.97,3,17.34,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,1,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,1,10.295,1,8.295,5,37.76,4,28.76,7,37.325,3,126.54,3,26.88,4,37.23,3,25.47,8,55.7,3,27.32
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,2,9.6,1,5.325,1,6.6,3,17.32,3,15.89,2,12.015,3,22.44,1,6.6,3,15.27,3,24.22,2,15.54,1,4.745
2063,3,25.77,4,43.35,8,51.28,5,48.93,4,39.45,4,37.1,3,22.27,6,67.12,6,41.43,5,47,10,75.035,6,42.155
2064,4,119.35,10,89.94,5,32.1,1,6.6,3,20.91,1,10.45,3,88.19,4,20.94,4,76.245,1,32.4,3,106.8,8,164.125
2065,6,69.92,4,26.94,9,73.835,5,35.44,8,53.765,4,22.49,7,42.08,6,124.34,13,109.46,11,85.585,11,61.82,8,65.03
2066,12,78.625,14,98.935,10,69.68,12,103.915,20,196.095,15,127.145,11,127.65,21,239.34,19,149.07,19,161.865,22,230.535,20,182.405
2067,8,42.185,5,42.27,8,50.76,11,109.28,6,45.7,6,41.31,6,39.31,8,56.925,12,90.195,8,51.535,8,60.815,9,81.72
2068,10,78.8,12,119.445,15,88.295,17,110.745,18,144.405,12,98.95,16,119.385,10,76.4,12,105.87,12,83.96,17,137.585,20,153.76
2069,14,107.925,12,89.07,11,74.775,6,45.565,11,84.39,8,54.56,11,85.515,9,90.57,13,119.81,6,47.55,11,119.66,14,215.09
2070,13,96.78,9,64.705,14,101.96,11,94.395,15,113.5,10,77.68,7,65.38,8,63.83,8,87.665,13,125.68,10,90.67,11,179.15
2071,7,51.1,8,65.38,6,73.02,14,118.29,5,51.145,10,96.72,11,93.735,8,73.85,9,69.99,16,134.35,19,221.5,19,170.04
