Postcode,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW
4880,10,75.94,16,153.155,17,231.42,10,100.88,8,57.29
4881,4,54.65,4,55.89,4,25.14,5,40.63,1,6.63
4882,2,9.6,0,0,2,18.98,2,26.27,2,15.17
4883,0,0,7,52.9,13,123.03,6,61.615,3,19.98
4884,4,28.1,1,6.66,2,12.9,6,53.56,2,13.26
4885,2,19.1,5,52.94,5,48.89,7,64.08,4,25.35
4886,1,6.66,1,19.44,1,6.66,2,16.5,1,8.88
4887,2,22.18,2,7.04,1,12.21,1,4.44,0,0
4888,1,6.66,3,29.55,3,19.98,6,42.88,1,18.87
4890,0,0,0,0,0,0,2,75.53,0,0
4891,0,0,0,0,0,0,3,74.62,0,0
4892,0,0,0,0,3,51.8,1,33.48,0,0
4895,0,0,1,3.4,1,8.88,1,6.6,1,7.4
5000,3,96.74,6,191.34,5,72.25,9,114.23,0,0
5001,0,0,0,0,0,0,0,0,0,0
5006,5,57.12,3,21.02,3,15.91,6,105.42,1,8.51
5007,7,93.55,5,97.37,5,32.8,6,52.38,2,51.45
5008,18,131.36,25,195.48,19,168.35,18,149.01,11,89.095
5009,8,58.7,9,90.17,10,87.13,5,57.72,1,6.66
5010,6,44.03,11,74.27,6,57.51,2,13.32,3,19.95
5011,22,172.595,16,106.37,27,188.09,10,67.8,9,61.605
5012,20,169.86,16,113.69,10,69.56,10,69.69,5,37.35
5013,8,102.14,15,159.645,13,200.74,19,155.26,13,153.27
5014,12,74.29,19,264,15,135.02,11,93.33,11,85.17
5015,3,28.785,3,20.49,6,38.36,3,17.39,2,13.2
5016,14,93.21,11,78.29,18,141.29,8,70.38,4,26.46
5017,9,59.59,5,28.3,5,28.41,4,22.91,2,13.32
5018,3,26.19,2,10.975,7,46.5,11,97.19,10,69.84
5019,11,98.19,14,113.93,10,87.7,13,105.72,8,63.35
5020,5,54.85,5,39.84,2,13.26,1,6.66,0,0
5021,7,65.57,8,64.265,15,127.98,12,109.065,5,44.55
5022,16,120.135,20,153.86,25,257.015,17,149.38,9,67.98
5023,20,164.57,23,160.1,28,220.83,12,95.09,14,115.87
5024,17,137.36,17,133.53,19,146.99,12,106.285,6,53.39
5025,8,58.23,16,132.43,14,109.1,10,93.465,7,63.27
5031,11,109.61,11,106.75,14,113.47,12,173.46,11,95.085
5032,20,147.64,21,188.92,16,141.61,7,49.35,5,34.19
5033,6,43.445,11,139.75,11,120.03,6,44.25,2,14.58
5034,12,121.86,7,54.79,7,51.15,7,64.77,9,78.829
